status	path	width	height	changedPixels	totalPixels	diffRatio	maxChannelDelta	comparison
M	tdesign-component/example/test/goldens/navbar_action_toast_dark.png	375	812	206638	304500	0.67861412	231	example/test/goldens/navbar_action_toast_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_action_toast_light.png	375	812	206598	304500	0.67848276	255	example/test/goldens/navbar_action_toast_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_back_toast_dark.png	375	812	195576	304500	0.64228571	231	example/test/goldens/navbar_back_toast_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_back_toast_light.png	375	812	195110	304500	0.64075534	255	example/test/goldens/navbar_back_toast_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_close_toast_dark.png	375	812	206646	304500	0.67864039	231	example/test/goldens/navbar_close_toast_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_close_toast_light.png	375	812	206608	304500	0.67851560	255	example/test/goldens/navbar_close_toast_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_home_toast_dark.png	375	812	206646	304500	0.67864039	231	example/test/goldens/navbar_home_toast_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_home_toast_light.png	375	812	206603	304500	0.67849918	255	example/test/goldens/navbar_home_toast_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_page_dark.png	375	1459	378981	547125	0.69267718	237	example/test/goldens/navbar_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_page_light.png	375	1459	313684	547125	0.57333151	255	example/test/goldens/navbar_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_search_entered_dark.png	375	1459	378981	547125	0.69267718	237	example/test/goldens/navbar_search_entered_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/navbar_search_entered_light.png	375	1459	313684	547125	0.57333151	255	example/test/goldens/navbar_search_entered_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/notice_bar_close_post_action_dark.png	375	1581	16111	592875	0.02717436	1	example/test/goldens/notice_bar_close_post_action_dark-develop-diff-current.png
